java -classpath ./classes:/homes/raphael/courses/cs541/public/cup/java-cup-10k.jar P2 testInput.csx_go
Raphael Finkel
Begin test of CSX scanner.
1:1	Reserved (package)
1:9	Identifier (test)
1:14	Symbol ({)
6:1	Reserved (int)
6:5	Identifier (i)
6:7	Symbol (=)
6:9	Integer literal (0)
6:25	Symbol (;)
7:1	Reserved (int)
7:5	Identifier (j)
7:7	Symbol (=)
7:9	Integer literal (-123)
7:13	Symbol (;)
8:1	Reserved (int)
8:5	Identifier (bigPos)
8:12	Symbol (=)
8:14	Bad integer literal; using (2147483647)
8:52	Symbol (;)
9:1	Reserved (int)
9:5	Identifier (bigNeg)
9:12	Symbol (=)
9:14	Bad integer literal; using (-2147483648)
9:52	Symbol (;)
10:1	Reserved (bool)
10:6	Identifier (ja)
10:9	Symbol (=)
10:11	Boolean literal (true)
10:15	Symbol (;)
11:1	Reserved (bool)
11:6	Identifier (nein)
11:11	Symbol (=)
11:13	Boolean literal (false)
11:18	Symbol (;)
12:1	Reserved (char)
12:6	Identifier (c)
12:8	Symbol (=)
12:10	Character literal ('c')
12:13	Symbol (;)
13:1	Reserved (char)
13:6	Identifier (nl)
13:9	Symbol (=)
13:11	Character literal ('\n')
13:15	Symbol (;)
14:1	Reserved (char)
14:6	Identifier (tab)
14:10	Symbol (=)
14:12	Character literal ('\t')
14:16	Symbol (;)
15:1	Reserved (char)
15:6	Identifier (bslash)
15:13	Symbol (=)
15:15	Character literal ('\\')
15:19	Symbol (;)
16:1	Reserved (char)
16:6	Identifier (tic)
16:10	Symbol (=)
16:12	Character literal ('\'')
16:16	Symbol (;)
17:1	Reserved (const)
17:7	Identifier (ten)
17:11	Symbol (=)
17:13	Integer literal (10)
17:15	Symbol (;)
18:1	Reserved (int)
18:5	Identifier (ar)
18:7	Symbol ([)
18:8	Integer literal (100)
18:11	Symbol (])
18:12	Symbol (;)
20:1	Identifier (void)
20:6	Identifier (p)
20:7	Symbol (()
20:8	Reserved (int)
20:12	Identifier (j)
20:13	Symbol ())
20:15	Symbol ({)
21:4	Reserved (print)
21:9	Symbol (()
21:10	String literal ("Ans = ")
21:18	Symbol (,)
21:20	Identifier (j)
21:21	Symbol (+)
21:22	Integer literal (1)
21:23	Symbol (,)
21:25	String literal ("\n")
21:29	Symbol ())
21:30	Symbol (;)
22:1	Symbol (})
24:1	Reserved (int)
24:5	Reserved (func)
24:10	Identifier (f)
24:11	Symbol (()
24:12	Reserved (int)
24:16	Identifier (i)
24:17	Symbol ())
24:18	Symbol ({)
25:9	Reserved (var)
25:13	Identifier (ar)
25:15	Symbol ([)
25:16	Identifier (i)
25:17	Symbol (])
25:19	Symbol (=)
25:21	Integer literal (100)
25:24	Symbol (;)
26:2	Reserved (return)
26:9	Identifier (i)
26:10	Symbol (+)
26:11	Integer literal (1)
26:12	Symbol (;)
27:1	Symbol (})
29:1	Reserved (read)
